Culture Comes From the Top|And pours down, whether asked for or not
Competition|Benefits, detriments, implementation
Identity I: Adjectives vs. Nouns|Nouns are specific and adjectives are general
Identity II: Use Identities to Guide Behaviors|Behave or join the outgroup
Identity III: Automatic Connection|Strangers to friends in an instant
Identity IV: Turmoil|Locus of control involuntarily going from internal to external
Pacing I: Deceleration|Or lack thereof, on bikes and in life
Pacing II: Acceleration|Or lack thereof, on machines and in life
Pacing III: Steady State|Staying consistent in efforts and in life
Discipline I: Momentum|Using small tasks to accelerate discipline
Discipline II: By Force|How to do things that aren't fun or desirable
Discipline III: Ebb and Flow|Motivation fluctuates, but the front line always pushes or holds
Discipline IV: Digging Graves|Make decisions that risk livelihood if not completed
Discipline V: Non-zero-Sum Efforts|Unproductive time removed ≠ productive time gained
Boredom I: Consistency|As an indicator of progress and being on the right track
Boredom II: Preying on the Ignorant|Selling snake oil for a hefty profit
Destruction I|My refuge and its 'progress'
Destruction II|Must progress and destruction go hand-in-hand?
Destruction III|Gone, but not forgotten
Destruction IV|The final piece of forest
Reviews I: Everyone's Responsibility|Ask not what the business can do for you, but what you can do for the business and your fellow consumers
Moderation is My Enemy and I Will Wage War on It Wherever I Go With Whatever I Have|
Set the Line Before It's Crossed|Be prepared to act when the time comes
Intelligence Is Knowledge Is Experience|Experience gives the illusion of intelligence
Agency|Developing agency and the ability to achieve goals
Eulogies|Live to leave a legacy
The Trust Function|Calculating flakiness one commitment at a time
Selling Out I: The Allure of Riches|Compromising principles for materials and status
Selling Out II: The Golden Ages|Content creation has simultaneously enriched and ruined many communities
Get Your Focus Right|Seek the important and dismiss the trivial
Ruined|Has trying to get better made me worse?
Seconds Matter|Accumulation is real... and fast
Filtering Through Low Bars|Easy barriers provide valuable information when not passed
Systems to Eschew Eschewing Performance|Competitors must earn statuses
Fear is a Lack of Understanding|Take time to learn before making an assessment
Excuses|Competitors don't bitch, they compensate
Puzzle Learning|An approach to learning new subjects
